"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/RunGui.java","3","8","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"2","(default)","src/RunGui.java","3","9","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"3","(default)","src/RunGui.java","3","11","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"4","(default)","src/Server.java","3","33","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"5","(default)","src/Server.java","3","33","The class 'Server' has a Cyclomatic Complexity of 7 (Highest = 16).","Code Size Rules","CyclomaticComplexity"
"6","(default)","src/Server.java","2","35","The Logger variable declaration does not contain the static and final modifiers","Java Logging Rules","LoggerIsNotStaticFinal"
"7","(default)","src/Server.java","3","37","It is somewhat confusing to have a field name matching the declaring class name","Naming Rules","AvoidFieldNameMatchingTypeName"
"8","(default)","src/Server.java","3","38","Avoid unused private fields such as 'maxProcessors'.","Unused Code Rules","UnusedPrivateField"
"9","(default)","src/Server.java","3","39","Avoid excessively long variable names like noOfAllowedConnections","Naming Rules","LongVariable"
"10","(default)","src/Server.java","1","39","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"11","(default)","src/Server.java","3","41","Avoid unused private fields such as 'paths'.","Unused Code Rules","UnusedPrivateField"
"12","(default)","src/Server.java","3","43","Avoid using implementation types like 'HashMap'; use the interface instead","Type Resolution Rules","LooseCoupling"
"13","(default)","src/Server.java","3","43","Avoid using implementation types like 'HashMap'; use the interface instead","Type Resolution Rules","LooseCoupling"
"14","(default)","src/Server.java","3","45","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"15","(default)","src/Server.java","3","45","The method 'main' has a Cyclomatic Complexity of 16.","Code Size Rules","CyclomaticComplexity"
"16","(default)","src/Server.java","5","47","Found 'DD'-anomaly for variable 'portNo' (lines '47'-'58').","Controversial Rules","DataflowAnomalyAnalysis"
"17","(default)","src/Server.java","3","50","Local variable 'paths' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"18","(default)","src/Server.java","5","54","Found 'DU'-anomaly for variable 'clientNo' (lines '54'-'185').","Controversial Rules","DataflowAnomalyAnalysis"
"19","(default)","src/Server.java","3","57","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"20","(default)","src/Server.java","3","62","Local variable 'loggingFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"21","(default)","src/Server.java","3","87","Local variable 'clientUpdaterPort' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"22","(default)","src/Server.java","5","92","Found 'DD'-anomaly for variable 'clientConnection' (lines '92'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"23","(default)","src/Server.java","3","105","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"24","(default)","src/Server.java","3","105","Local variable 'objectInput' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","(default)","src/Server.java","3","106","Local variable 'analysisRequested' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"26","(default)","src/Server.java","3","117","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"27","(default)","src/Server.java","3","127","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"28","(default)","src/Server.java","3","140","Avoid excessively long variable names like requestProcessingThread","Naming Rules","LongVariable"
"29","(default)","src/Server.java","3","140","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"30","(default)","src/Server.java","3","140","Avoid using ThreadGroup; it is not thread safe","Basic Rules","AvoidThreadGroup"
"31","(default)","src/Server.java","3","140","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"32","(default)","src/Server.java","3","140","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"33","(default)","src/Server.java","3","152","Avoid using exceptions as flow control.","Strict Exception Rules","ExceptionAsFlowControl"
"34","(default)","src/Server.java","3","156","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"35","(default)","src/Server.java","3","162","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"36","(default)","src/Server.java","3","168","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"37","(default)","src/Server.java","3","176","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"38","(default)","src/Server.java","3","198","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"39","att.grappa","src/att/grappa/Attribute.java","3","55","The class 'Attribute' has a Cyclomatic Complexity of 7 (Highest = 33).","Code Size Rules","CyclomaticComplexity"
"40","att.grappa","src/att/grappa/Attribute.java","3","73","Parameter 'newHandler' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
